NO,기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도,ESG 등급조정,환경 등급조정,사회 등급조정,지배구조 등급조정
973,KT지니뮤직,043610,C,D,C,C,2024,,,,
972,LB세미콘,061970,C,B+,A,D,2024,,,,
971,LF,093050,B+,B+,B+,B+,2024,,,,
970,LG,003550,A,A,A+,B+,2024,,,,
969,LG디스플레이,034220,B+,B+,A,B+,2024,,,,
968,LG생활건강,051900,A,B+,A+,A,2024,,,,
967,LG에너지솔루션,373220,A,A,A+,B+,2024,,,,
966,LG유플러스,032640,A,A,A+,A,2024,,,,
965,LG이노텍,011070,A,A,A+,A,2024,,,,
964,LG전자,066570,A,A,A+,B+,2024,,,,
963,LG헬로비전,037560,A,A,A+,A,2024,,,,
962,LG화학,051910,B+,B+,A,B+,2024,,,,
961,LIG넥스원,079550,A,A,A+,A,2024,,,,
960,LS,006260,A,A,A,A,2024,,,,
959,LS네트웍스,000680,B+,B,A,B+,2024,,,,
958,LS마린솔루션,060370,C,C,C,B,2024,,,,
957,LS에코에너지,229640,C,D,C,B,2024,,,,
956,LS증권,078020,C,D,D,B,2024,,,,
955,LX세미콘,108320,B+,B+,A,B+,2024,,,,
954,LX인터내셔널,001120,A,B+,A+,B+,2024,,,,
953,LX하우시스,108670,A,A,A,B+,2024,,,,
952,LX홀딩스,383800,B+,A,A,B+,2024,,,,
951,MH에탄올,023150,D,D,D,C,2024,,,,
950,NAVER,035420,A,A,A+,A,2024,,,,
949,NHN KCP,060250,B,B,B,B,2024,,,,
948,NH농협손해보험,839719,등급없음,등급없음,등급없음,A,2024,,,,
947,NH투자증권,005940,A,B+,A,A,2024,,,,
946,NICE,034310,B+,B,A,B+,2024,,,,
945,NICE평가정보,030190,B+,C,B+,B+,2024,,,,
944,NI스틸,008260,D,D,C,D,2024,,,,
943,OCI홀딩스,010060,A,B+,A+,A,2024,,,,
942,PI첨단소재,178920,B+,B+,A,B+,2024,,,,
941,PKC,001340,D,C,D,D,2024,통합 등급조정(2024.10.),,,지배구조 등급조정(2024.10.)
940,POSCO홀딩스,005490,A,A,A+,A,2024,,,,
939,RFHIC,218410,D,C,D,D,2024,,,,
938,S-Oil,010950,A,B+,A,A,2024,,,,
937,SBS,034120,A,B+,B+,A,2024,,,,
936,SB성보,003080,D,D,C,C,2024,,,,
935,SFA반도체,036540,D,C,C,D,2024,,,,
934,SGC E&C,016250,C,B,C,C,2024,,,,
933,SGC에너지,005090,B,A,B+,C,2024,,,,
932,SG글로벌,001380,D,C,D,D,2024,,,,
931,SG세계물산,004060,D,D,D,C,2024,,,,
930,SHD,001770,D,D,D,C,2024,,,,
929,SH에너지화학,002360,C,C,D,B,2024,,,,
928,SIMPAC,009160,D,C,C,D,2024,,,,
927,SJG세종,033530,D,C,C,D,2024,,,,
926,SK,034730,A,A,A+,A,2024,,,,
925,SKC,011790,A,A,A+,A,2024,,,,
924,SK가스,018670,A,A,A+,A,2024,,,,
923,SK네트웍스,001740,A+,A,A+,A+,2024,,,,
922,SK디스커버리,006120,A,A,A+,A,2024,,,,
921,SK디앤디,210980,A,A,A+,A,2024,,,,
920,SK바이오사이언스,302440,A,B+,A+,A,2024,,,,
919,SK스퀘어,402340,A+,A,A+,A+,2024,,,,
918,SK아이이테크놀로지,361610,A,A,A+,A,2024,,,,
917,SK오션플랜트,100090,A+,A+,A+,A,2024,,,,
916,SK이노베이션,096770,A+,A,A+,A+,2024,,,,
915,SK증권,001510,B+,A,B+,B+,2024,,,,
914,SK케미칼,285130,A+,A+,A+,A+,2024,,,,
913,SK텔레콤,017670,A,A,A+,A,2024,,,,
912,SK하이닉스,000660,B+,A,A+,B,2024,,,,
911,SM C&C,048550,D,D,D,D,2024,,,,
910,SM Life Design,063440,D,D,D,D,2024,,,,
909,SNT다이내믹스,003570,C,C,D,C,2024,,,,
908,SNT모티브,064960,C,C,C,C,2024,,,,
907,SNT에너지,100840,C,C,D,B,2024,,,,
906,SNT홀딩스,036530,B,C,D,B+,2024,,,,
905,SOOP,067160,B+,B,A,B+,2024,,,,
904,SPC삼립,005610,B,B,C,B,2024,,,사회 등급조정(2024.10.),
903,STX,011810,D,D,C,D,2024,,,,
902,STX엔진,077970,D,C,C,D,2024,,,,
901,SUN&L,002820,C,C,C,B,2024,,,,
900,TCC스틸,002710,C,B,A,D,2024,,,,
899,TP,007980,C,C,C,C,2024,,,,
898,TYM,002900,B+,B+,A,B,2024,,,,지배구조 등급조정(2025.01.)
897,WISCOM,024070,C,C,D,C,2024,,,,
896,YG PLUS,037270,D,D,D,D,2024,,,,
895,iM금융지주,139130,A,A+,A,A,2024,,,사회 등급조정(2024.10.),
894,가온전선,000500,B,A,A,C,2024,,,,
893,강남제비스코,000860,B+,A,B+,B+,2024,,,,
892,강원랜드,035250,A,A,A,A,2024,,,,
891,강원에너지,114190,D,C,D,D,2024,,,,
890,갤럭시아머니트리,094480,C,D,C,B,2024,,,,
889,갤럭시아에스엠,011420,D,D,D,D,2024,,,,
888,경남은행,192520,등급없음,등급없음,등급없음,B+,2024,,,,
887,경농,002100,C,C,D,B,2024,,,,
886,경동나비엔,009450,A,B+,A+,B+,2024,,,,
885,경동도시가스,267290,B,C,B+,B,2024,,,,
884,경동인베스트,012320,B,C,B+,B,2024,,,,
883,경방,000050,C,C,D,C,2024,,,,
882,경보제약,214390,B+,B+,A,B,2024,,,,지배구조 등급조정(2025.04.)
881,경인양행,012610,B+,B+,B+,B,2024,,,,
880,경인전자,009140,D,D,D,D,2024,,,,
879,계룡건설산업,013580,B,B+,C,B+,2024,통합 등급조정(2025.04.),,사회 등급조정(2025.04.),
878,계양전기,012200,D,C,C,D,2024,통합 등급조정(2024.10.),,,지배구조 등급조정(2024.10.)
877,고려산업,002140,D,D,D,C,2024,,,,
876,고려아연,010130,B+,B+,A,B+,2024,,,,
875,고려제강,002240,D,C,D,D,2024,,,,
874,고영,098460,B+,B,A,B,2024,,,,
873,골프존,215000,B+,A,A,B+,2024,,,,
872,광동제약,009290,C,B+,C,C,2024,,,,
871,광명전기,017040,C,C,D,C,2024,,,,
870,광전자,017900,C,C,D,C,2024,,,,
869,광주신세계,037710,A,A,A+,A,2024,,,,
868,광주은행,192530,등급없음,등급없음,등급없음,B+,2024,,,,
867,교보생명보험,811097,등급없음,등급없음,등급없음,B+,2024,,,,
866,교보증권,030610,B+,A,A,B+,2024,,,,
865,교촌에프앤비,339770,D,D,D,C,2024,,,,
864,국도화학,007690,C,C,B,C,2024,,,,
863,국민은행,060000,등급없음,등급없음,등급없음,A,2024,,,,
862,국보,001140,D,C,D,D,2024,,,,
861,국제약품,002720,D,D,D,C,2024,,,,
860,그린케미칼,083420,C,C,D,C,2024,,,,
859,극동유화,014530,D,C,D,D,2024,,,,
858,금강공업,014280,D,C,D,D,2024,,,,
857,금비,008870,D,D,D,C,2024,,,,
856,금양,001570,D,C,D,D,2024,,,,
855,금호건설,002990,B+,B,A,B,2024,,,,
854,금호석유화학,011780,B+,A,A+,B,2024,,,,
853,금호에이치티,214330,D,C,D,D,2024,,,,
852,금호전기,001210,D,C,D,D,2024,,,,
851,금호타이어,073240,B+,A,B+,B+,2024,통합 등급조정(2024.10.),,사회 등급조정(2024.10.),
850,기신정기,092440,D,D,D,C,2024,,,,
849,기아,000270,A,A+,A+,B+,2024,,,,
848,기업은행,024110,A,A+,A+,A,2024,,,,
847,까뮤이앤씨,013700,C,D,D,B,2024,,,,
846,깨끗한나라,004540,B,B,B+,B,2024,,,,
845,나노신소재,121600,C,C,D,C,2024,,,,
844,나스미디어,089600,B+,B+,A,B+,2024,,,,
843,나우IB,293580,D,D,D,C,2024,,,,
842,남광토건,001260,D,D,D,D,2024,,,,
841,남선알미늄,008350,D,C,D,D,2024,,,,
840,남성,004270,D,D,D,D,2024,,,,
839,남양유업,003920,B,A,A+,C,2024,,,,
838,남해화학,025860,C,C,D,C,2024,,,,
837,네오위즈,095660,C,D,D,B+,2024,,,,
836,네이처셀,007390,D,C,D,D,2024,,,,
835,네패스,033640,C,B,B+,D,2024,,,,
834,넥센,005720,B+,B+,A,B,2024,,,,
833,넥센타이어,002350,B,A,A+,C,2024,,,,
832,넥스틴,348210,C,B,B,D,2024,,,,
831,넥슨게임즈,225570,D,D,D,C,2024,,,,
830,넵튠,217270,C,D,C,B,2024,,,,
829,넷마블,251270,A,B+,A+,A,2024,,,,
828,노루페인트,090350,A,A,A+,B+,2024,,,,
827,노루홀딩스,000320,A,A,A+,B+,2024,,,,
826,녹십자,006280,B+,A,A+,B,2024,,,,
825,녹십자홀딩스,005250,A,A,A+,B+,2024,,,,
824,농심,004370,B,A,B+,C,2024,,,,
823,농심홀딩스,072710,B,B+,B+,B,2024,,,,
822,농우바이오,054050,C,D,D,B,2024,,,,
821,농협금융지주,839683,등급없음,등급없음,등급없음,A,2024,,,,
820,농협생명보험,839723,등급없음,등급없음,등급없음,A,2024,,,,
