companyName,industry,companyType,capital,ceoName,mainBusiness,Homage,affiliates,numberOfEmployees,establishmentDate,revenue,graduateSalary,hasFourInsurances,address
아세아제지,-,중견기업,-,유승환외1명(이현탁),"국민연금, 건강보험, 고용보험, 산재보험",세종 부강면 부강금호로 497 (금호리) 아세아제지(주) 세종공장,N/A,-,-,-,-,-,N/A
아센디오,연예·엔터테인먼트,중소기업,448억 8천만원,한승일,"국민연금, 건강보험, 고용보험, 산재보험","서울 강남구 언주로 729 (논현동, 마스터스729빌딩) 7,8층",N/A,50명,1977.05.21 (49년차),216억,"엔터테인먼트,연예,영화,드라마,공연",http://www.ascendio.co.kr,N/A
아시아나IDT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
아시아나항공,항공 여객 운송업,대기업,1조 299억원 (2024.12.31),송보영,"항공운송(여객운송,화물운송)/항공기 제조,정비수리",http://www.flyasiana.com,한진그룹 토파스여행정보(주) (주)한국글로발로지스틱스시스템 태일캐터링(주) 포항항7부두운영(주) (주)항공종합서비스 (주)칼호텔네트워크 (주)싸이버스카이 아시아나세이버(주) 한진평택컨테이너터미널(주) 한진부산컨테이너터미널(주) 태일통상(주) (주)한진 아시아나에어포트(주) 세계혼재항공화물(주) 더보기,"7,923명 (2024.12.31)",1988.02.17 (38년차),7조 592억원 (2024.12.31),"5,000만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험",서울 강서구 오정로 443-83 (오쇠동) 아시아나타운
아이마켓코리아,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
아이비케이연금보험,생명 보험업,대기업,"4,900억원 (2024.12.31)",임문택,"국민연금, 건강보험, 고용보험, 산재보험",서울 중구 봉래동1가 25번지 HSBC빌딩 18층,중소기업은행그룹 (주)아이비케이시스템 아이비케이신용정보(주) 아이비케이자산운용(주) (주)한일에프에이 (주)아이비케이캐피탈 중소기업은행 아이비케이투자증권(주) (자)기술금융제일호사모투자전문회사 브랜드케이청년창조기술금융사모투자(자) (주)아이비케이저축은행 더보기,196명 (2024.12.31),2010.09.01 (16년차),"7,622억 8천만원 (2024.12.31)","생명보험(퇴직연금,개인연금),금융",http://www.ibki.co.kr,N/A
아이비케이캐피탈,그 외 기타 여신금융업,대기업,"2,654억 5천만원 (2024.12.31)",문창환,"신기술사업금융,할부금융,시설대여,팩토링금융,중소기업창업 투자,융자,리스",http://www.ibkc.co.kr,중소기업은행그룹 (주)아이비케이시스템 아이비케이신용정보(주) 아이비케이자산운용(주) (주)한일에프에이 중소기업은행 아이비케이투자증권(주) (자)기술금융제일호사모투자전문회사 아이비케이연금보험(주) 브랜드케이청년창조기술금융사모투자(자) (주)아이비케이저축은행 더보기,265명 (2024.12.31),1986.11.20 (40년차),"7,862억원6십만원 (2024.12.31)","3,750만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험","서울 강남구 테헤란로 414 (대치동, 엘앤비타워) IBK캐피탈"
아이비케이투자증권,증권 중개업,대기업,"6,309억 3천만원 (2024.12.31)",서정학,"증권중개,투자매매,투자일임,금융업무 사업중개주선",http://www.ibks.com,중소기업은행그룹 (주)아이비케이시스템 아이비케이신용정보(주) 아이비케이자산운용(주) (주)한일에프에이 (주)아이비케이캐피탈 중소기업은행 (자)기술금융제일호사모투자전문회사 아이비케이연금보험(주) 브랜드케이청년창조기술금융사모투자(자) (주)아이비케이저축은행 더보기,675명 (2024.12.31),2008.07.23 (18년차),"2조 9,838억원 (2024.12.31)","4,600만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험","서울 영등포구 국제금융로6길 11 (여의도동, 삼덕빌딩) IBK투자증권"
아이센스,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
아이에스동서,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",중견기업,154억 4천만원 (2024.12.31),남병옥/허필식/배기문,"국민연금, 건강보험, 고용보험, 산재보험",서울 강남구 논현동 89-10,아이에스지주그룹 인선기업(주) (주)영흥산업환경 인선이엔티(주) (주)엠엘씨 환경에너지솔루션(주) (주)일신개발 (주)일신이앤씨 (주)일신홀딩스 아이에스에코솔루션(주) 중앙레미콘(주) 티씨이(주) (주)서현관리 티와이건설(주) 트리엔파트너스(주) (주)오션디앤씨 아이에스해운(주) 더보기,654명,1975.09.01 (51년차),"1조 6,084억","타일,위생도기,콘크리트파일,P.C관,침목 제조,도매",http://www.isdongseo.co.kr,N/A
아이에이치큐,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
아이엠뱅크,국내은행,대기업,"7,206억 2천만원 (2024.12.31)",황병우,"금융,신탁(대출금이자,유가증권이자,수수료수입)",http://www.imbank.co.kr,DGB금융지주그룹 (주)아이엠증권 아이엠에셋자산운용(주) (주)아이엠신용정보 (주)아이엠라이프생명보험 (주)아이엠유페이 (주)아이엠금융지주 (주)뉴지스탁 (주)아이엠데이터시스템 아이엠투자파트너스(주),"3,117명 (2024.12.31)",1967.10.07 (59년차),"4조 5,897억원 (2024.12.31)","4,000만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험","대구 수성구 달구벌대로 2310 (수성동2가, 대구은행본점) ."
아이티엠반도체,그 외 기타 전자부품 제조업,중견기업,115억 7천만원 (2024.12.31),나혁휘,"배터리 보호회로,휴대전화기용 배터리팩,반도체칩,로프안테나 제조,개발,판매",http://www.it-m.co.kr,NICE그룹 (주)나이스엘엠에스 (주)닥터스텍 NICE인프라(주) 나이스피앤아이(주) (주)나이스디앤비 에스투비네트워크(주) 서울전자통신(주) 나이스신용평가(주) 케이아이에스정보통신(주) 나이스정보통신(주) (주)NICE홀딩스 나이스평가정보(주) 나이스디앤알(주) 나이스씨엠에스(주) 나이스신용정보(주) 더보기,313명 (2024.12.31),2000.02.23 (26년차),"5,881억 8천만원 (2024.12.31)","3,400만원","국민연금, 건강보험, 고용보험, 산재보험",충북 청주시 청원구 오창읍 양청3길 60 (양청리) (주)아이티엠반도체
아주스틸,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
아진전자부품,자동차·조선·철강·항공,중소기업,-,"문종은, 서중호",-,-,N/A,50명,-,-,"4,000만원","국민연금, 건강보험, 고용보험, 산재보험",
안랩,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
알루코,"알루미늄 압연, 압출 및 연신제품 제조업",중견기업,484억 3천만원 (2024.12.31),박진우,"알루미늄제품,샷시 제조",http://www.aluko.co.kr,알루텍그룹 (주)케이피티유 현대알루미늄(주) (주)알루텍 (주)고강알루미늄 알루머티리얼즈(주),168명 (2024.12.31),1956.06.04 (70년차),"2,973억 5천만원 (2024.12.31)","3,500만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험",대전 대덕구 대화동 275-2
알테오젠,의학 및 약학 연구개발업,중소기업,266억 5천만원 (2024.12.31),박순재,"국민연금, 건강보험, 고용보험, 산재보험",대전 유성구 유성대로1628번길 62 (전민동) 알타오젠,알테오젠그룹 (주)알테오젠헬스케어 (주)알토스바이오로직스,154명 (2024.12.31),2008.05.13 (18년차),929억 6천만원 (2024.12.31),"바이오시밀러,바이오베터/생명공학관련바이오제품 제조,도소매",http://www.alteogen.com,N/A
애경산업,"치약, 비누 및 기타 세제 제조업",중견기업,264억 9백만원 (2024.12.31),채동석/김상준,"국민연금, 건강보험, 고용보험, 산재보험","서울 마포구 양화로 188 (동교동, 애경타워) 애경산업㈜",애경그룹 에이엠플러스인덕원(주) 우영운수(주) (주)애드미션 에이케이플라자(주) (주)제이에이에스 애경자산관리(주) AK홀딩스(주) (주)에이텍 (주)제주항공 비컨로지스틱스(주) 코스파(주) 에이엠플러스자산개발(주) 애경바이오팜(주) (주)마포애경타운 애경중부컨트리클럽(주) 에이엘오(주) 더보기,915명 (2024.12.31),1985.04.25 (41년차),"6,551억 6천만원 (2024.12.31)","세제,비누,의약부외품,칫솔 제조/화장품,팬시용품,식품소분,잡화(기저귀) 도소매,전자상거래/경양식 음식",http://www.aekyung.co.kr,N/A
애경케미칼,"치약, 비누 및 기타 세제 제조업",중견기업,264억 9백만원 (2024.12.31),채동석/김상준,"국민연금, 건강보험, 고용보험, 산재보험","서울 마포구 양화로 188 (동교동, 애경타워) 애경산업㈜",애경그룹 에이엠플러스인덕원(주) 우영운수(주) (주)애드미션 에이케이플라자(주) (주)제이에이에스 애경자산관리(주) AK홀딩스(주) (주)에이텍 (주)제주항공 비컨로지스틱스(주) 코스파(주) 에이엠플러스자산개발(주) 애경바이오팜(주) (주)마포애경타운 애경중부컨트리클럽(주) 에이엘오(주) 더보기,915명 (2024.12.31),1985.04.25 (41년차),"6,551억 6천만원 (2024.12.31)","세제,비누,의약부외품,칫솔 제조/화장품,팬시용품,식품소분,잡화(기저귀) 도소매,전자상거래/경양식 음식",http://www.aekyung.co.kr,N/A
